,title,roleId,companyName,salary,workType,isPrivateAdvertiser,listingDate,isPremium,isStandOut,suburb,suburbWhereValue,classification.id,classification.description,subClassification.id,subClassification.description,advertiser.id,advertiser.description
10,Lead Analyst: Geospatial Stream (Adelaide),analyst,,,Full time,False,2024-07-09T22:15:54Z,False,False,Adelaide,Adelaide SA 5000,1223,Science & Technology,6218,"Environmental, Earth & Geosciences",55136489,Australian Spatial Analytics
11,Functional Analyst,functional-analyst,Fujitsu,"Flexible, Hybrid and WFH options",Full time,False,2024-07-15T01:09:06Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,504021,Fujitsu Australia Limited
12,Mid Level Data engineer,data-engineer,Clarrow,,Full time,False,2024-07-02T06:32:51Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6290,Engineering - Software,43521592,Clarrow Pty Ltd
13,Head of Technology & Data,head-of-technology,SustainAbility Consulting,$250k-$260k Base + Super + generous bonus,Full time,False,2024-07-12T05:06:21Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6292,Management,34426961,SustainRecruit
14,Data Engineer - Mid-Level,data-engineer,FourQuarters Recruitment,,Full time,False,2024-07-11T04:40:40Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6303,Other,26475017,FourQuarters Recruitment
15,Graduate Data Scientist | Artificial Intelligence,data-scientist,PwC,,Full time,False,2024-07-10T01:56:17Z,False,True,Perth,Perth WA 6000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",2798,PwC
16,Data Analyst,data-analyst,Bluefin Resources,,Full time,False,2024-06-28T05:40:13Z,False,False,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,27705684,Bluefin Resources Pty Limited
17,Asset Data Scientist,data-scientist,V/Line,free Myki,Contract/Temp,False,2024-06-18T07:54:20Z,False,True,Melbourne,Melbourne VIC 3000,6092,"Manufacturing, Transport & Logistics",6110,Rail & Maritime Transport,14451688,V/Line Corporation
18,Earth Observation Data Scientist (multiple roles),data-scientist,Recruitment Hive,$140 - $160 p.h. + Transparent Fee Structure,Contract/Temp,False,2024-06-26T00:34:01Z,False,True,Canberra,Canberra ACT 2600,6281,Information & Communication Technology,6303,Other,401135233,Recruitment Hive
19,Business Applications Analyst - Deposits and Transactions,business-applications-analyst,Red Apple IT,,Full time,False,2024-07-15T00:52:18Z,False,False,,,6281,Information & Communication Technology,6283,Business/Systems Analysts,44215378,Red Apple IT Pty Ltd
20,Data Coordinator,data-coordinator,Good to Great Schools,"$70,000 – $85,000 per year",Contract/Temp,False,2024-07-12T01:30:20Z,False,True,Cairns,Cairns QLD 4870,6281,Information & Communication Technology,6286,Database Development & Administration,33668324,Good to Great Schools Australia Limited
21,Senior Data Engineer,data-engineer,Talenza,$900 - $930 p.d.,Contract/Temp,False,2024-07-08T05:22:04Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6303,Other,37849505,Talenza
22,Business Analyst,business-analyst,Progress Rail Australia,"$115,000 – $135,000 per year",Full time,False,2024-07-09T23:54:03Z,True,True,Redbank,Redbank QLD 4301,6076,Consulting & Strategy,6077,Analysts,32523033,Progress Rail Australia Pty Ltd
23,Supply Chain Integrated Systems- Support Analyst,systems-support-analyst,Martin Brower,Attractive Base + super + benefits,Full time,False,2024-07-12T07:14:57Z,True,True,Wetherill Park,Wetherill Park NSW 2164,6281,Information & Communication Technology,6283,Business/Systems Analysts,21195721,Martin Brower
24,Assistant Director Data Scientist,assistant-director,Recruitment Hive,$850 - $1k p.d. + Transparent fees,Contract/Temp,False,2024-07-05T02:15:27Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6303,Other,401135233,Recruitment Hive
25,Data & Analytics Lead (24-month contract),analytics-lead,ResMed,,Contract/Temp,False,2024-07-10T07:21:32Z,False,True,Bella Vista,Bella Vista NSW 2153,6281,Information & Communication Technology,6283,Business/Systems Analysts,20080671,ResMed
26,Graduate Data Scientist | Artificial Intelligence,data-scientist,PwC,,Full time,False,2024-07-10T01:56:10Z,False,True,Brisbane,Brisbane QLD 4000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",2798,PwC
27,Insights Analyst,insights-analyst,Entain,,Full time,False,2024-07-12T03:10:45Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6303,Other,44578086,Entain Group PTY LTD
28,Senior Data Analyst,data-analyst,,"$100,000-110,000 pa (+15% superannuation)",Contract/Temp,False,2024-07-02T23:40:13Z,False,True,Canberra,Canberra ACT 2600,6163,Community Services & Development,6170,Indigenous & Multicultural Services,401092261,National Aboriginal Community Controlled Health Organisation
29,Analytics Lead,analytics-lead,Bluefin Resources,$150k - $160k p.a. + + super + benefits,Full time,False,2024-07-11T09:42:51Z,False,False,Sydney,Sydney NSW 2000,1203,Banking & Financial Services,6175,Analysis & Reporting,27705684,Bluefin Resources Pty Limited
30,Sports Data Analyst,data-analyst,Data Processors,$80K > $90K / year + super (based on experience),Full time,False,2024-07-07T23:23:12Z,False,True,Pyrmont,Pyrmont NSW 2009,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",25982700,Data Processors Pty Ltd
31,Data Architect,data-architect,BaptistCare NSW & ACT,Generous salary on offer + NFP salary packaging,Full time,False,2024-06-23T23:49:06Z,False,True,Norwest,Norwest NSW 2153,6281,Information & Communication Technology,6282,Architects,2163436,BaptistCare
32,Data Engineer,data-engineer,Hearing Australia,,Full time,False,2024-07-05T03:25:46Z,False,True,Macquarie Park,Macquarie Park NSW 2113,6281,Information & Communication Technology,6290,Engineering - Software,14307180,Hearing Australia
33,Principal Reporting Analyst,reporting-analyst,Queensland Health,"$129,471.00 to $138,792.00 per annum + super",Full time,False,2024-07-03T03:57:18Z,False,True,Brisbane,Brisbane QLD 4000,1210,Government & Defence,1411,Government - State,32285210,Department of Health - Queensland
34,Reporting & Data Management Analyst,data-management-analyst,Shoalhaven City Council,"Salary: $96,868 – $110,017 p.a. plus 11.5% Super",Full time,False,2024-07-03T23:11:06Z,False,False,Nowra,Nowra NSW 2541,6281,Information & Communication Technology,6283,Business/Systems Analysts,699532,Shoalhaven City Council
35,Data Engineer,data-engineer,Talent International,,Full time,False,2024-06-21T01:49:15Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6303,Other,23607483,"Talent – Specialists in tech, transformation & beyond"
36,Data Governance Consultant,governance-consultant,Exclaim IT,"$150,000 - $175,000 + super",Full time,False,2024-07-12T05:53:23Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21469508,Exclaim IT
37,Analytics Engineer,Analytics-Engineer,Launch Recruitment,"$120,000 to $170,000 package",Full time,False,2024-07-09T04:24:10Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6286,Database Development & Administration,23949797,Launch Recruitment Pty Ltd
38,"Commercial Analyst - Norwood, SA ",commercial-analyst,Smokemart and Giftbox,,Contract/Temp,False,2024-06-19T07:13:16Z,False,True,Norwood,Norwood SA 5067,1200,Accounting,6143,Analysis & Reporting,47324903,Smokemart & GiftBox
39,Finance Data Analyst,data-analyst,Victoria Legal Aid,"$98,902 - $123,624 plus super + salary packaging",Full time,False,2024-07-01T22:12:06Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6286,Database Development & Administration,4196110,Victoria Legal Aid
40,Data Platform Manager,platform-manager,St Vincent's Health Australia,Salary packaging,Full time,False,2024-07-01T22:33:17Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6295,Programme & Project Management,26627705,St Vincent's Health Australia
41,Data Collection Analyst,collections-analyst,The University of Sydney,,Full time,False,2024-07-09T05:19:00Z,False,True,Camperdown,Camperdown NSW 2050,6281,Information & Communication Technology,6283,Business/Systems Analysts,45079971,The University of Sydney
42,Data Analyst (Market Intelligence),data-analyst,ASIC,"Salary $75,838 - $107,911 depending on experience",Full time,False,2024-07-02T05:39:10Z,False,True,Melbourne,Melbourne VIC 3000,1203,Banking & Financial Services,6175,Analysis & Reporting,24680132,ASIC
43,Data Analyst,data-analyst,Hays Recruitment,70,Contract/Temp,False,2024-06-17T08:29:31Z,False,True,Perth,Perth WA 6000,6281,Information & Communication Technology,6290,Engineering - Software,29321866,Hays | Technology
44,Technical Analyst - Enterprise Program,technical-analyst,Gippsland Water,,Contract/Temp,False,2024-07-08T04:42:17Z,True,True,Traralgon,Traralgon VIC 3844,6281,Information & Communication Technology,6283,Business/Systems Analysts,20914582,Gippsland Water
45,Business Analyst,business-analyst,Harvey Nash,Excellent Daily Rate,Contract/Temp,False,2024-07-10T04:48:54Z,True,True,Darwin,Darwin NT 0800,6281,Information & Communication Technology,6283,Business/Systems Analysts,27622251,Harvey Nash
46,Data Analyst,data-analyst,Hays Recruitment,,Full time,False,2024-07-08T08:29:15Z,False,True,,,6281,Information & Communication Technology,6286,Database Development & Administration,29308280,Hays | Technology
47,Data Analyst,data-analyst,Valrose,,Full time,False,2024-07-01T06:18:27Z,False,True,Perth,Perth WA 6000,6281,Information & Communication Technology,6283,Business/Systems Analysts,39090289,Valrose
48,Business Intelligence Developer,business-intelligence-developer,Baptist Care SA,"$93,865 – $98,107 per year + Super + Salary Sac",Full time,False,2024-06-21T02:25:35Z,False,True,Wayville,Wayville SA 5034,6281,Information & Communication Technology,6287,Developers/Programmers,25620293,Baptist Care SA
49,Data Analyst,data-analyst,DBG Health,,Full time,False,2024-07-09T03:17:21Z,False,False,Cremorne,Cremorne VIC 3121,1203,Banking & Financial Services,6175,Analysis & Reporting,401073955,Independent Pharmacies of Australia Group
50,Senior Health Insights Analyst - Multiple Positions,insights-analyst,,,Full time,False,2024-07-01T19:32:09Z,False,False,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,61554368,SA Health - Dept for Health and Wellbeing
51,Data & Reporting Analyst,data-reporting-analyst,Anglicare TAS,,Full time,False,2024-07-11T05:31:42Z,False,True,Burnie,Burnie TAS 7320,6281,Information & Communication Technology,6283,Business/Systems Analysts,21496073,Anglicare Tasmania Inc
52,Junior Data Analyst,data-analyst,S2M,$85k - $95k Package,Full time,False,2024-06-26T02:53:32Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21137338,S2M
53,Actuary/Data Scientist - SAS SQL - Multiple Positions,data-scientist,HiTech Personnel,Rewarding hourly rates $$$,Contract/Temp,False,2024-07-05T04:11:53Z,False,True,,,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",2974,HiTech Personnel
54,Senior Data System Analyst,systems-analyst,Suncorp,Competitive Salary + WFH + Benefits,Full time,False,2024-07-11T01:13:25Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6283,Business/Systems Analysts,8133080,Suncorp
55,Systems Analyst,systems-analyst,,,Full time,False,2024-07-12T02:04:40Z,False,False,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,37086133,IP Partners
56,Data Assistant,Data-Assistant,SAHMRI,,Full time,False,2024-07-05T06:52:09Z,False,True,Adelaide,Adelaide SA 5000,1211,Healthcare & Medical,1353,Clinical/Medical Research,26844193,SAHMRI
57,Data and Systems Analyst,systems-analyst,Hays Recruitment,$115000.0 - $125000.0 p.a. + superannuation,Full time,False,2024-07-09T23:48:25Z,False,True,Petersham,Petersham NSW 2049,6281,Information & Communication Technology,6283,Business/Systems Analysts,29321933,Hays | Technology
58,Data Scientist & Analyst,data-scientist,,,Full time,False,2024-07-05T10:59:38Z,False,False,Malaga,Malaga WA 6090,1223,Science & Technology,6223,Modelling & Simulation,47538457,VitalTrace Pty Ltd
59,Business Analyst (Data Reporting / Power BI),business-analyst,AAR Consulting Group,$133 per hour inclusive of super or plus GST,Contract/Temp,False,2024-07-04T11:44:04Z,False,True,,,6281,Information & Communication Technology,6283,Business/Systems Analysts,21088987,AAR Consulting Group P/L
60,APS6 Actuary Data Scientist,data-scientist,Recruitment Hive,$850 - $1050 p.d. + Weekly Pays,Contract/Temp,False,2024-07-05T02:39:50Z,False,True,Deakin,Deakin ACT 2600,6281,Information & Communication Technology,6286,Database Development & Administration,401135233,Recruitment Hive
61,Senior Data Analyst,data-analyst,NSW Department of Customer Service,,Full time,False,2024-06-27T02:53:17Z,False,False,Sydney,Sydney NSW 2000,1210,Government & Defence,1411,Government - State,41355415,NSW Department of Customer Service
62,ICT Business Analyst,information-technology-business-analyst,,"$80,000 – $100,000 per year",Full time,False,2024-07-02T11:06:54Z,False,False,Paradise,Paradise SA 5075,6281,Information & Communication Technology,6283,Business/Systems Analysts,62546020,Ankny Pty Ltd
63,Business Process Analyst,business-process-analyst,HomeStart Finance,,Full time,False,2024-07-09T23:48:34Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,26720981,HomeStart
64,APS5 Data Analyst,data-analyst,Australian National Audit Office,"$88,180 to $96,088 plus 15.4% superannuation",Full time,False,2024-06-27T22:08:45Z,False,True,Forrest,Forrest ACT 2603,6281,Information & Communication Technology,6283,Business/Systems Analysts,2377084,Australian National Audit Office
65,Level 2 - Application Support Analyst - LES,applications-support-analyst,Civica,,Full time,False,2024-06-21T10:33:50Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6291,Help Desk & IT Support,35127753,Civica Asia Pacific
66,Data Engineer,data-engineer,DeVision Recruitment,,Full time,False,2024-07-12T05:33:10Z,True,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,400458652,DeVision Recruitment
67,Level 2 - Application Support Analyst - LES,applications-support-analyst,Civica,,Full time,False,2024-06-21T10:33:50Z,True,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6291,Help Desk & IT Support,35127753,Civica Asia Pacific
68,Product Information & Data Specialist,data-specialist,Allied Pinnacle,,Full time,False,2024-07-04T05:45:24Z,False,False,Kingsgrove,Kingsgrove NSW 2208,6281,Information & Communication Technology,6283,Business/Systems Analysts,22638246,Allied Pinnacle Pty Limited
69,Data Analyst - Dashboards / Reporting,data-analyst,Total Resource Solutions,$550 - $619 per day + super,Contract/Temp,False,2024-07-09T06:35:27Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,31300304,TRS - Public Sector
70,Junior Data Engineer,data-engineer,Defence Health,"$90,000 – $110,000 inclusive of super",Full time,False,2024-07-04T23:26:52Z,False,True,Melbourne,Melbourne VIC 3004,6281,Information & Communication Technology,6290,Engineering - Software,34997244,Defence Health
71,Data Engineer,data-engineer,DeVision Recruitment,,Full time,False,2024-07-12T05:33:10Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,400458652,DeVision Recruitment
72,Data Scientist,data-scientist,,,Full time,False,2024-07-04T07:39:05Z,False,True,Adelaide,Adelaide SA 5000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",37511972,Fleet Space Technologies
73,Data & Reporting Analyst,data-reporting-analyst,Anglicare TAS,,Full time,False,2024-07-11T05:31:45Z,False,True,Hobart,Hobart TAS 7000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21496073,Anglicare Tasmania Inc
74,Data Scientist,data-scientist,Peoplebank,,Contract/Temp,False,2024-07-12T07:21:32Z,False,True,Perth,Perth WA 6000,6281,Information & Communication Technology,6286,Database Development & Administration,28936488,Peoplebank Australia WA
75,Data Analyst,data-analyst,,"$65,000 – $70,000 per year",Full time,False,2024-06-17T00:35:35Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,39371635,The Data School Pty Ltd
76,Data Analyst,data-analyst,Hudson,+ Super,Contract/Temp,False,2024-06-25T01:59:07Z,False,False,Brisbane,Brisbane QLD 4000,1210,Government & Defence,1411,Government - State,55252809,"Hudson - Technology, Projects & Transformation"
77,Data Analyst (NV1/NV2 Clearance),data-analyst,Hays Recruitment,$85K - $95K + SUPER,Full time,False,2024-06-18T08:07:07Z,False,True,Edinburgh,Edinburgh SA 5111,6281,Information & Communication Technology,6283,Business/Systems Analysts,29318766,Hays | Technology
78,Scientific Data Engineer,data-engineer,U&U Recruitment Partners,$74.00 - $83.13 per hour,Contract/Temp,False,2024-07-10T04:53:05Z,False,False,Brisbane,Brisbane QLD 4000,1210,Government & Defence,1411,Government - State,25421433,u&u. Recruitment Partners
79,Data Analyst / Programmer,analyst-programmer,HR4Business,,Full time,False,2024-06-30T07:09:03Z,False,False,Geelong,Geelong VIC 3220,6281,Information & Communication Technology,6286,Database Development & Administration,28086031,HR4Business
80,Retail Planning & Insights Analyst,insights-analyst,Pacific Blue Australia,,Full time,False,2024-07-14T22:05:07Z,False,False,Docklands,Docklands VIC 3008,1203,Banking & Financial Services,6175,Analysis & Reporting,24865340,Pacific Blue Australia
81,Machine Learning Engineer | Manager | Artificial Intelligence,machine-learning-engineer,PwC,,Full time,False,2024-07-10T00:57:11Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6290,Engineering - Software,2798,PwC
82,Data & Reporting Analyst,data-reporting-analyst,Anglicare TAS,,Full time,False,2024-07-11T05:31:48Z,False,True,Launceston,Launceston TAS 7250,6281,Information & Communication Technology,6283,Business/Systems Analysts,21496073,Anglicare Tasmania Inc
83,Business Intelligence Developer,business-intelligence-developer,Reo Group,"$120,000 – $130,000 per year",Full time,False,2024-07-02T01:59:33Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6287,Developers/Programmers,25424904,Reo Group
84,Application Support Analyst,applications-support-analyst,Hays Recruitment,,Full time,False,2024-06-21T05:02:51Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6291,Help Desk & IT Support,29308062,Hays | Technology
85,Technical and Data Analyst,data-analyst,The University of Sydney,,Full time,False,2024-07-10T06:49:15Z,False,True,,,6281,Information & Communication Technology,6283,Business/Systems Analysts,45079971,The University of Sydney
86,Technology Senior Business Analyst,business-analyst,SA Water,,Full time,False,2024-07-04T05:11:54Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,22062501,SA Water
87,Analyst AI & Data Science,analyst,Roy Hill,Base salary + multiple bonus schemes + benefits,Full time,False,2024-07-08T04:55:12Z,False,True,Perth,Perth WA 6000,6281,Information & Communication Technology,6287,Developers/Programmers,45145625,Roy Hill
88,Data Administrator,data-administrator,EFM Logistics,,Full time,False,2024-07-11T06:49:54Z,True,True,Moorabbin,Moorabbin VIC 3189,1203,Banking & Financial Services,6175,Analysis & Reporting,27633302,efm Logistics Pty Ltd
89,Data Technician,data-technician,,"$80,000 – $100,000 per year",Full time,False,2024-07-10T01:04:06Z,True,True,Perth,Perth WA 6000,6281,Information & Communication Technology,6300,Telecommunications,33318942,High Standard Systems
90,Data Scientist,data-scientist,NSW Department of Customer Service,,Full time,False,2024-06-27T02:55:31Z,False,False,Sydney,Sydney NSW 2000,1210,Government & Defence,1411,Government - State,41355415,NSW Department of Customer Service
91,Graduate BI Analyst,business-intelligence-analyst,Altius Group,Competitive salary + benefits + PD,Full time,False,2024-07-11T04:51:13Z,False,True,Hawthorn,Hawthorn VIC 3122,6281,Information & Communication Technology,6283,Business/Systems Analysts,35439161,Altius Group
92,DATA SCIENTIST,data-scientist,Mane Consulting,160000,Full time,False,2024-06-25T03:28:11Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6303,Other,36073745,Mane Consulting
93,ASO5/6 Test Analyst,testing-analyst,Karlka Recruiting Group,$54.18 - $65.58 per hour + super,Contract/Temp,False,2024-07-04T01:31:03Z,False,True,Adelaide,Adelaide SA 5000,1210,Government & Defence,1411,Government - State,34080570,Karlka Recruiting Group
94,Graduate - Data Analytics,,Tomago Aluminium,,Contract/Temp,False,2024-06-27T04:29:39Z,False,True,Tomago,Tomago NSW 2322,6281,Information & Communication Technology,6286,Database Development & Administration,21945015,Tomago Aluminium Company Pty Limited
95,Data Engineer,data-engineer,Hudson,$130 - $140 p.h.,Contract/Temp,False,2024-07-08T00:16:50Z,False,False,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6287,Developers/Programmers,41306130,Hudson - Data & Analytics
96,Data Scientist (Machine Learning & AI),data-scientist,Australian Institute of Marine Science,"$136,089 to $153,351 per annum, plus 15.4% super",Full time,False,2024-07-12T05:26:46Z,False,True,Darwin,Darwin NT 0800,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",22262609,Australian Institute of Marine Science
97,Junior Data Engineer.,data-engineer,Alloc8,"$110,000 – $130,000 per year",Full time,False,2024-06-17T06:15:38Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6290,Engineering - Software,29714902,Alloc8
98,Data Analyst,data-analyst,,"$109,000 – $114,274 + generous superannuation",Full time,False,2024-07-04T02:48:36Z,False,True,Docklands,Docklands VIC 3008,6281,Information & Communication Technology,6286,Database Development & Administration,62545386,Victorian Labor
99,Data Scientist,data-scientist,Murdoch Childrens Research Institute,"$98,000 - $106,000",Full time,False,2024-07-05T03:35:06Z,False,True,Parkville,Parkville VIC 3052,1211,Healthcare & Medical,1353,Clinical/Medical Research,20759263,Murdoch Childrens Research Institute
100,Data Engineer,data-engineer,NSW Department of Customer Service,$106025 - $117363 p.a.,Full time,False,2024-07-10T06:24:34Z,False,False,Parramatta,Parramatta NSW 2150,1210,Government & Defence,1411,Government - State,41355415,NSW Department of Customer Service
101,Data Architect,data-architect,,"$155,000 – $165,000 per year plus superannuation",Contract/Temp,False,2024-07-11T09:37:22Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,45417533,Catholic Schools NSW
102,Marketing Intelligence Analyst,intelligence-analyst,,,Full time,False,2024-06-24T23:46:49Z,False,False,Adelaide,Adelaide SA 5000,6008,Marketing & Communications,6014,Market Research & Analysis,37511972,Fleet Space Technologies
103,Lead Data Scientist,data-scientist,Hydrogen Group,$1k - $1100 p.d.,Contract/Temp,False,2024-07-05T07:19:08Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6290,Engineering - Software,22081129,Hydrogen Group Pty Ltd
104,Data and Statistical Analyst,Statistical-and-Data-Analyst,Agency for Clinical Innovation NSW,"$122,850 - $139,559 per annum (exc superannuation)",Full time,False,2024-07-11T23:10:49Z,False,False,Sydney,Sydney NSW 2000,1211,Healthcare & Medical,1353,Clinical/Medical Research,26948970,ACI - NSW Agency for Clinical Innovation
105,Data Analyst,data-analyst,Recruitment Hive,$660 - $770 p.h. + Transparent fees,Contract/Temp,False,2024-06-17T06:15:14Z,False,True,,,6281,Information & Communication Technology,6303,Other,401135233,Recruitment Hive
106,Data Engineer,data-engineer,Emanate Technology,,Contract/Temp,False,2024-07-11T06:51:03Z,False,False,Capital Hill,Capital Hill ACT 2600,6281,Information & Communication Technology,6286,Database Development & Administration,56062757,Emanate Technology Pty Ltd
107,Data Analyst,data-analyst,Exclaim IT,Daily Market Rates,Contract/Temp,False,2024-06-25T07:44:19Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6286,Database Development & Administration,21469508,Exclaim IT
108,Data Scientist,data-scientist,HCLTech,,Contract/Temp,False,2024-06-26T08:54:04Z,False,False,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6282,Architects,25038674,HCL Australia Services Pty Ltd
109,Market Data Technology Lead,technology-lead,Macquarie Group,,Full time,False,2024-06-24T01:56:11Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6292,Management,61530524,Macquarie Group Limited
110,Technical Business Analyst,technical-business-analyst,ANZ,,Full time,False,2024-07-09T07:35:12Z,True,True,Docklands,Docklands VIC 3008,6281,Information & Communication Technology,6283,Business/Systems Analysts,55375716,ANZ Banking group
111,Customer Service/Data Entry Administrator,data-entry-administrator,TRG Transport Solutions,,Full time,False,2024-06-19T07:47:10Z,True,True,Wingfield,Wingfield SA 5013,1204,Call Centre & Customer Service,6091,Other,23673465,TRG Transport Solutions
112,Data Engineer/ETL specialist,Extract-Transform-Load-Specialist,Startech IT Consulting,,Contract/Temp,False,2024-07-11T10:00:37Z,False,False,,,6281,Information & Communication Technology,6286,Database Development & Administration,28852568,StarTech IT Consulting Pty Ltd
113,Senior Data Analyst,data-analyst,Department of Treasury QLD,"$127,842 - $136,895 p.a.",Full time,False,2024-07-04T03:50:42Z,False,True,Townsville,Townsville QLD 4810,1210,Government & Defence,1411,Government - State,28839448,Department of Queensland Treasury
114,Senior Data Analyst,data-analyst,Victorian Aboriginal Community Controlled Health,"$120,000 – $140,000 per year",Full time,False,2024-07-05T05:08:32Z,False,True,Collingwood,Collingwood VIC 3066,6281,Information & Communication Technology,6283,Business/Systems Analysts,25628181,VICTORIAN ABORIGINAL COMMUNITY CONTROLLED HEALTH ORGANISATION
115,Actuary/Data Scientist - SAS SQL - Multiple Positions,data-scientist,HiTech Personnel,Rewarding hourly rates $$$,Contract/Temp,False,2024-07-05T04:16:49Z,False,True,,,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",2974,HiTech Personnel
