,type,label,alias
47,Referenceable Experience,Resources Industry,audit-director
48,Referenceable Experience,Trust Accounting,trust-officer
49,Referenceable Experience,Microsoft Excel,trust-officer
50,Observable Attributes,Communication Skills,trust-officer
51,Referenceable Experience,Financial Reporting,financial-director
52,Referenceable Experience,Accounting Standards,financial-director
53,Referenceable Experience,Accounting Software,financial-director
54,Observable Attributes,Commercial Acumen,financial-director
55,Referenceable Experience,Financial Accounting,financial-director
56,Verifiable Attainments,CA Qualification,financial-director
57,Referenceable Experience,Financial Planning,financial-director
58,Observable Attributes,Strategic Thinking,financial-director
59,Referenceable Experience,Commerce,financial-director
60,Referenceable Experience,Analysis,financial-director
61,Referenceable Experience,Team Leadership,financial-director
62,Observable Attributes,Communication Skills,financial-director
63,Observable Attributes,Written Communication,financial-director
64,Referenceable Experience,Microsoft Office,financial-director
65,Observable Attributes,Problem Solving,financial-director
66,Observable Attributes,Resilience,financial-director
67,Observable Attributes,Time Management,financial-director
68,Referenceable Experience,Corporate Tax,taxation-adviser
69,Referenceable Experience,Income Tax,taxation-adviser
70,Referenceable Experience,Tax Advisory,taxation-adviser
71,Referenceable Experience,International Taxation,taxation-adviser
72,Referenceable Experience,Taxation Law,taxation-adviser
73,Referenceable Experience,Tax Compliance,taxation-adviser
74,Referenceable Experience,Commerce,taxation-adviser
75,Referenceable Experience,Enterprise Business,taxation-adviser
76,Verifiable Attainments,CA Qualification,taxation-adviser
77,Referenceable Experience,Public Practice Accounting,taxation-adviser
78,Referenceable Experience,Australian Law,taxation-adviser
79,Referenceable Experience,SAP Software,taxation-adviser
80,Referenceable Experience,Accounting Practice,taxation-adviser
81,Observable Attributes,Reliability,taxation-adviser
82,Observable Attributes,Problem Solving,taxation-adviser
83,Observable Attributes,Communication Skills,taxation-adviser
84,Referenceable Experience,Microsoft Excel,taxation-adviser
85,Referenceable Experience,Analysis,taxation-adviser
86,Observable Attributes,Conceptual Thinking,taxation-adviser
87,Observable Attributes,Willingness to Learn,taxation-adviser
88,Referenceable Experience,Account Management,account-administration-assistant
89,Referenceable Experience,Bookkeeping,account-administration-assistant
90,Referenceable Experience,Xero Accounting Software,account-administration-assistant
91,Referenceable Experience,MYOB Accounting Software,account-administration-assistant
92,Referenceable Experience,Data Entry,account-administration-assistant
93,Referenceable Experience,Accounts Administration,account-administration-assistant
94,Referenceable Experience,Accounting Package,account-administration-assistant
95,Observable Attributes,Multitasking,account-administration-assistant
96,Observable Attributes,Thoroughness,account-administration-assistant
97,Referenceable Experience,Accounts Receivable,account-administration-assistant
98,Referenceable Experience,Accounts Payable,account-administration-assistant
99,Observable Attributes,Communication Skills,account-administration-assistant
100,Observable Attributes,Ability to Follow Direction,account-administration-assistant
101,Observable Attributes,Computer Literacy,account-administration-assistant
102,Referenceable Experience,Credit Card Reconciliation,account-administration-assistant
103,Observable Attributes,Organised,account-administration-assistant
104,Referenceable Experience,Residential Buildings,account-administration-assistant
105,Observable Attributes,Problem Solving,account-administration-assistant
106,Observable Attributes,Phone Etiquette,account-administration-assistant
107,Observable Attributes,Ability to Work At A Fast Pace,account-administration-assistant
108,Referenceable Experience,Tax Compliance,taxation-manager
109,Referenceable Experience,Taxation,taxation-manager
110,Referenceable Experience,Taxation Law,taxation-manager
111,Referenceable Experience,Corporate Tax,taxation-manager
112,Verifiable Attainments,CA Qualification,taxation-manager
113,Referenceable Experience,Commerce,taxation-manager
114,Referenceable Experience,Transfer Pricing,taxation-manager
115,Referenceable Experience,Income Tax,taxation-manager
116,Referenceable Experience,Public Practice Accounting,taxation-manager
117,Observable Attributes,Communication Skills,taxation-manager
118,Referenceable Experience,Xero Accounting Software,taxation-manager
119,Referenceable Experience,Analysis,taxation-manager
120,Observable Attributes,Thoroughness,taxation-manager
121,Referenceable Experience,Leadership,taxation-manager
122,Observable Attributes,Problem Solving,taxation-manager
123,Observable Attributes,Time Management,taxation-manager
124,Observable Attributes,Autonomy,taxation-manager
125,Observable Attributes,Team Work,taxation-manager
126,Observable Attributes,Organised,taxation-manager
127,Verifiable Attainments,Six Sigma Black Belt Certificate,audit-specialist
128,Referenceable Experience,Cybersecurity,audit-specialist
129,Referenceable Experience,Information Technology Audit,audit-specialist
130,Referenceable Experience,Control Plan,audit-specialist
131,Referenceable Experience,Statistical Process Control,audit-specialist
132,Referenceable Experience,Process Validation,audit-specialist
133,Referenceable Experience,Commerce,audit-specialist
134,Referenceable Experience,Quality Tools,audit-specialist
135,Referenceable Experience,Cyber Security Risk,audit-specialist
136,Referenceable Experience,Change Control,audit-specialist
137,Observable Attributes,Mature Thinking,audit-specialist
138,Referenceable Experience,Information Security,audit-specialist
139,Referenceable Experience,Process Control,audit-specialist
140,Referenceable Experience,Risk Assessment,audit-specialist
141,Referenceable Experience,Financial Audit,audit-specialist
142,Referenceable Experience,Production Process,audit-specialist
143,Referenceable Experience,Mentoring,audit-specialist
144,Verifiable Attainments,Cisa Qualification,audit-specialist
145,Observable Attributes,Creative Thinking,audit-specialist
146,Referenceable Experience,Agile Methodologies,audit-specialist
147,Referenceable Experience,Payroll Software,payroll-adviser
148,Referenceable Experience,End to End Payroll,payroll-adviser
149,Referenceable Experience,SAP SuccessFactors,payroll-adviser
150,Referenceable Experience,Payroll Processing,payroll-adviser
151,Referenceable Experience,Chris21,payroll-adviser
152,Referenceable Experience,Payroll Tax,payroll-adviser
153,Referenceable Experience,Microsoft Excel,payroll-adviser
154,Observable Attributes,Prioritisation,payroll-adviser
155,Observable Attributes,Time Management,payroll-adviser
156,Referenceable Experience,Financial Accounting,payroll-adviser
157,Observable Attributes,Ability to Work At A Fast Pace,payroll-adviser
158,Referenceable Experience,Commerce,payroll-adviser
159,Observable Attributes,Thoroughness,payroll-adviser
160,Referenceable Experience,Customer Service,payroll-adviser
161,Referenceable Experience,SAP Software,payroll-adviser
162,Observable Attributes,Communication Skills,payroll-adviser
163,Observable Attributes,Written Communication,payroll-adviser
164,Referenceable Experience,Analysis,payroll-adviser
165,Observable Attributes,Resilience,payroll-adviser
166,Observable Attributes,Problem Solving,payroll-adviser
167,Referenceable Experience,Tax Compliance,taxation-consultant
168,Referenceable Experience,Taxation Law,taxation-consultant
169,Referenceable Experience,Taxation,taxation-consultant
170,Referenceable Experience,Corporate Tax,taxation-consultant
171,Referenceable Experience,Tax Risk Management,taxation-consultant
172,Referenceable Experience,Tax Advisory,taxation-consultant
173,Referenceable Experience,Tax Planning,taxation-consultant
174,Verifiable Attainments,CA Qualification,taxation-consultant
175,Referenceable Experience,Transfer Pricing,taxation-consultant
176,Referenceable Experience,Commerce,taxation-consultant
177,Referenceable Experience,Xero Accounting Software,taxation-consultant
178,Referenceable Experience,Public Practice Accounting,taxation-consultant
179,Referenceable Experience,Bookkeeping,taxation-consultant
180,Referenceable Experience,Analysis,taxation-consultant
181,Referenceable Experience,Financial Reporting,taxation-consultant
182,Observable Attributes,Communication Skills,taxation-consultant
183,Observable Attributes,Problem Solving,taxation-consultant
184,Observable Attributes,Proactive Attitude,taxation-consultant
185,Observable Attributes,Thoroughness,taxation-consultant
186,Observable Attributes,Written Communication,taxation-consultant
187,Referenceable Experience,Caseware,audit-supervisor
188,Verifiable Attainments,CPPA Qualification,audit-supervisor
189,Referenceable Experience,Public Practice Accounting,audit-supervisor
190,Referenceable Experience,Commerce,audit-supervisor
191,Referenceable Experience,Accounting Software,audit-supervisor
192,Referenceable Experience,Financial Reporting,audit-supervisor
193,Verifiable Attainments,Acca Qualification,audit-supervisor
194,Referenceable Experience,Intuit Quickbooks,audit-supervisor
195,Referenceable Experience,Financial Statements,audit-supervisor
196,Observable Attributes,Sincerity,audit-supervisor
197,Referenceable Experience,Business Accounting,audit-supervisor
198,Referenceable Experience,External Audit,audit-supervisor
199,Referenceable Experience,Front of House,audit-supervisor
200,Observable Attributes,Rapport Building,audit-supervisor
201,Observable Attributes,Written Communication,audit-supervisor
202,Referenceable Experience,Funds Management,audit-supervisor
203,Observable Attributes,Communication Skills,audit-supervisor
204,Observable Attributes,Delegation,audit-supervisor
205,Referenceable Experience,Guest Experience,audit-supervisor
206,Observable Attributes,Quick Thinking,audit-supervisor
207,Referenceable Experience,Records Management,integrity-officer
208,Referenceable Experience,ServiceNow,integrity-officer
209,Referenceable Experience,Case Management,integrity-officer
210,Referenceable Experience,Complaint Management,integrity-officer
211,Observable Attributes,Verbal Communication,integrity-officer
212,Referenceable Experience,Analysis,integrity-officer
213,Observable Attributes,Problem Solving,integrity-officer
214,Observable Attributes,Logical Thinking,integrity-officer
215,Observable Attributes,Team Work,integrity-officer
216,Observable Attributes,Communication Skills,integrity-officer
217,Referenceable Experience,Microsoft Office,integrity-officer
218,Observable Attributes,Autonomy,integrity-officer
219,Observable Attributes,Organised,integrity-officer
220,Observable Attributes,Thoroughness,integrity-officer
221,Observable Attributes,Computer Literacy,integrity-officer
222,Observable Attributes,Time Management,integrity-officer
223,Observable Attributes,Multitasking,integrity-officer
224,Observable Attributes,Resilience,integrity-officer
225,Referenceable Experience,Customer Service,integrity-officer
226,Referenceable Experience,Payroll Software,payroll-officer
227,Referenceable Experience,End to End Payroll,payroll-officer
228,Referenceable Experience,Payroll Processing,payroll-officer
229,Referenceable Experience,Chris21,payroll-officer
230,Referenceable Experience,Microsoft Excel,payroll-officer
231,Referenceable Experience,Access MicrOpay,payroll-officer
232,Observable Attributes,Time Management,payroll-officer
233,Observable Attributes,Thoroughness,payroll-officer
234,Observable Attributes,Communication Skills,payroll-officer
235,Observable Attributes,Numeracy,payroll-officer
236,Referenceable Experience,SAP Software,payroll-officer
237,Referenceable Experience,Data Entry,payroll-officer
238,Referenceable Experience,Customer Service,payroll-officer
239,Observable Attributes,Organised,payroll-officer
240,Observable Attributes,Problem Solving,payroll-officer
241,Observable Attributes,Autonomy,payroll-officer
242,Observable Attributes,Resilience,payroll-officer
243,Observable Attributes,Prioritisation,payroll-officer
244,Observable Attributes,Team Work,payroll-officer
245,Observable Attributes,Computer Literacy,payroll-officer
246,Referenceable Experience,Financial Accounting,financial-accountant
247,Referenceable Experience,Accounting Standards,financial-accountant
248,Verifiable Attainments,CA Qualification,financial-accountant
249,Referenceable Experience,Microsoft Excel,financial-accountant
250,Referenceable Experience,Financial Reporting,financial-accountant
251,Referenceable Experience,Accounting Principles,financial-accountant
252,Referenceable Experience,ERP Software,financial-accountant
253,Referenceable Experience,Accounting Software,financial-accountant
254,Referenceable Experience,Commerce,financial-accountant
255,Referenceable Experience,Financial Statements,financial-accountant
256,Referenceable Experience,SAP Software,financial-accountant
257,Observable Attributes,Communication Skills,financial-accountant
258,Referenceable Experience,Analysis,financial-accountant
259,Observable Attributes,Problem Solving,financial-accountant
260,Observable Attributes,Time Management,financial-accountant
261,Observable Attributes,Thoroughness,financial-accountant
262,Observable Attributes,Autonomy,financial-accountant
263,Observable Attributes,Organised,financial-accountant
264,Observable Attributes,Resilience,financial-accountant
265,Observable Attributes,Written Communication,financial-accountant
266,Referenceable Experience,Accounts Payable,accounts-payable-officer
267,Referenceable Experience,Microsoft Excel,accounts-payable-officer
268,Referenceable Experience,ERP Software,accounts-payable-officer
269,Referenceable Experience,Accounting Software,accounts-payable-officer
270,Referenceable Experience,Data Entry,accounts-payable-officer
271,Referenceable Experience,SAP Software,accounts-payable-officer
272,Observable Attributes,Thoroughness,accounts-payable-officer
273,Observable Attributes,Communication Skills,accounts-payable-officer
274,Observable Attributes,Time Management,accounts-payable-officer
275,Referenceable Experience,Accounting Principles,accounts-payable-officer
276,Referenceable Experience,ERP,accounts-payable-officer
277,Observable Attributes,Organised,accounts-payable-officer
278,Observable Attributes,Autonomy,accounts-payable-officer
279,Observable Attributes,Problem Solving,accounts-payable-officer
280,Observable Attributes,Computer Literacy,accounts-payable-officer
281,Observable Attributes,Multitasking,accounts-payable-officer
282,Observable Attributes,Ability to Work At A Fast Pace,accounts-payable-officer
283,Observable Attributes,Resilience,accounts-payable-officer
284,Referenceable Experience,Customer Service,accounts-payable-officer
285,Observable Attributes,Prioritisation,accounts-payable-officer
286,Referenceable Experience,Payroll Software,payroll-manager
287,Referenceable Experience,Payroll Management,payroll-manager
288,Referenceable Experience,End to End Payroll,payroll-manager
289,Referenceable Experience,Chris21,payroll-manager
290,Referenceable Experience,Access MicrOpay,payroll-manager
291,Referenceable Experience,Payroll Processing,payroll-manager
292,Referenceable Experience,Microsoft Excel,payroll-manager
293,Referenceable Experience,HRIS,payroll-manager
294,Referenceable Experience,Team Leadership,payroll-manager
295,Referenceable Experience,SAP Software,payroll-manager
296,Observable Attributes,Communication Skills,payroll-manager
297,Referenceable Experience,Leadership,payroll-manager
298,Observable Attributes,Time Management,payroll-manager
299,Observable Attributes,Thoroughness,payroll-manager
300,Observable Attributes,Problem Solving,payroll-manager
301,Observable Attributes,Organised,payroll-manager
302,Referenceable Experience,Customer Service,payroll-manager
303,Observable Attributes,Computer Literacy,payroll-manager
304,Observable Attributes,Resilience,payroll-manager
305,Observable Attributes,Autonomy,payroll-manager
306,Referenceable Experience,Evidence Management,analyst-consultant
307,Referenceable Experience,Litigation Support,analyst-consultant
308,Referenceable Experience,Computer Forensics,analyst-consultant
309,Referenceable Experience,eDiscovery,analyst-consultant
310,Referenceable Experience,Data Science,analyst-consultant
311,Referenceable Experience,Litigation,analyst-consultant
312,Referenceable Experience,Structured Finance,analyst-consultant
313,Referenceable Experience,Business Economics,analyst-consultant
314,Referenceable Experience,Business Analysis,analyst-consultant
315,Observable Attributes,Stakeholder Management,analyst-consultant
316,Observable Attributes,Technical Aptitude,analyst-consultant
317,Referenceable Experience,Lean Practice,analyst-consultant
318,Referenceable Experience,Financial Analysis,analyst-consultant
319,Referenceable Experience,Investment Banking,analyst-consultant
320,Referenceable Experience,Financial Modelling,analyst-consultant
321,Referenceable Experience,Valuation,analyst-consultant
322,Referenceable Experience,Information Technology,analyst-consultant
323,Referenceable Experience,Sailpoint,analyst-consultant
324,Referenceable Experience,Process Automation,analyst-consultant
325,Referenceable Experience,Product Engineering,analyst-consultant
326,Referenceable Experience,Accounts Receivable,accounts-receivable-officer
327,Referenceable Experience,Microsoft Excel,accounts-receivable-officer
328,Referenceable Experience,ERP Software,accounts-receivable-officer
329,Referenceable Experience,Accounting Software,accounts-receivable-officer
330,Referenceable Experience,Debt Collection,accounts-receivable-officer
331,Observable Attributes,Time Management,accounts-receivable-officer
332,Observable Attributes,Communication Skills,accounts-receivable-officer
333,Referenceable Experience,Data Entry,accounts-receivable-officer
334,Observable Attributes,Thoroughness,accounts-receivable-officer
335,Referenceable Experience,Accounting Principles,accounts-receivable-officer
336,Referenceable Experience,SAP Software,accounts-receivable-officer
337,Observable Attributes,Organised,accounts-receivable-officer
338,Observable Attributes,Autonomy,accounts-receivable-officer
339,Referenceable Experience,Customer Service,accounts-receivable-officer
340,Observable Attributes,Multitasking,accounts-receivable-officer
341,Observable Attributes,Problem Solving,accounts-receivable-officer
342,Observable Attributes,Prioritisation,accounts-receivable-officer
343,Observable Attributes,Ability to Work At A Fast Pace,accounts-receivable-officer
344,Observable Attributes,Written Communication,accounts-receivable-officer
345,Observable Attributes,Computer Literacy,accounts-receivable-officer
346,Referenceable Experience,Credit Control,credit-controller
347,Referenceable Experience,Accounts Receivable,credit-controller
348,Referenceable Experience,Microsoft Excel,credit-controller
349,Referenceable Experience,Debt Collection,credit-controller
350,Referenceable Experience,SAP Software,credit-controller
351,Referenceable Experience,Credit Collections,credit-controller
352,Referenceable Experience,ERP Software,credit-controller
353,Observable Attributes,Thoroughness,credit-controller
354,Observable Attributes,Multitasking,credit-controller
355,Observable Attributes,Communication Skills,credit-controller
356,Referenceable Experience,Customer Service,credit-controller
357,Observable Attributes,Time Management,credit-controller
358,Referenceable Experience,Data Entry,credit-controller
359,Observable Attributes,Negotiation,credit-controller
360,Observable Attributes,Proactive Attitude,credit-controller
361,Observable Attributes,Numeracy,credit-controller
362,Observable Attributes,Autonomy,credit-controller
363,Referenceable Experience,Analysis,credit-controller
364,Observable Attributes,Ability to Work At A Fast Pace,credit-controller
365,Observable Attributes,Problem Solving,credit-controller
366,Referenceable Experience,Xero Accounting Software,taxation-accountant
367,Referenceable Experience,Public Practice Accounting,taxation-accountant
368,Referenceable Experience,MYOB Accounting Software,taxation-accountant
369,Referenceable Experience,Taxation,taxation-accountant
370,Referenceable Experience,Tax Returns,taxation-accountant
371,Referenceable Experience,Taxation Law,taxation-accountant
372,Referenceable Experience,Tax Accounting,taxation-accountant
373,Referenceable Experience,Handisoft Software,taxation-accountant
374,Verifiable Attainments,CA Qualification,taxation-accountant
375,Referenceable Experience,Intuit Quickbooks,taxation-accountant
376,Referenceable Experience,Tax Compliance,taxation-accountant
377,Referenceable Experience,Financial Statements,taxation-accountant
378,Referenceable Experience,Accounting Practice,taxation-accountant
379,Referenceable Experience,Commerce,taxation-accountant
380,Observable Attributes,Communication Skills,taxation-accountant
381,Observable Attributes,Time Management,taxation-accountant
382,Observable Attributes,Thoroughness,taxation-accountant
383,Referenceable Experience,Microsoft Office,taxation-accountant
384,Observable Attributes,Autonomy,taxation-accountant
385,Observable Attributes,Organised,taxation-accountant
386,Referenceable Experience,Financial Reporting,financial-controller
387,Verifiable Attainments,CA Qualification,financial-controller
388,Referenceable Experience,Financial Regulation,financial-controller
389,Referenceable Experience,Accounting Principles,financial-controller
390,Referenceable Experience,Accounting Standards,financial-controller
391,Referenceable Experience,Cash Flow Management,financial-controller
392,Referenceable Experience,Xero Accounting Software,financial-controller
393,Referenceable Experience,Microsoft Excel,financial-controller
394,Referenceable Experience,Financial Accounting,financial-controller
395,Referenceable Experience,ERP Software,financial-controller
396,Referenceable Experience,Commerce,financial-controller
397,Observable Attributes,Commercial Acumen,financial-controller
398,Referenceable Experience,Analysis,financial-controller
399,Observable Attributes,Communication Skills,financial-controller
400,Referenceable Experience,Leadership,financial-controller
401,Referenceable Experience,Team Leadership,financial-controller
402,Observable Attributes,Strategic Thinking,financial-controller
403,Observable Attributes,Problem Solving,financial-controller
404,Referenceable Experience,SAP Software,financial-controller
405,Observable Attributes,Thoroughness,financial-controller
406,Referenceable Experience,Payroll Software,payroll-specialist
407,Referenceable Experience,End to End Payroll,payroll-specialist
408,Referenceable Experience,Payroll Processing,payroll-specialist
409,Referenceable Experience,Chris21,payroll-specialist
410,Referenceable Experience,Microsoft Excel,payroll-specialist
411,Referenceable Experience,Payroll Tax,payroll-specialist
412,Referenceable Experience,SAP Software,payroll-specialist
413,Referenceable Experience,Taxation,payroll-specialist
414,Observable Attributes,Thoroughness,payroll-specialist
415,Observable Attributes,Problem Solving,payroll-specialist
416,Observable Attributes,Numeracy,payroll-specialist
417,Observable Attributes,Time Management,payroll-specialist
418,Observable Attributes,Communication Skills,payroll-specialist
419,Referenceable Experience,Customer Service,payroll-specialist
420,Referenceable Experience,Analysis,payroll-specialist
421,Observable Attributes,Written Communication,payroll-specialist
422,Observable Attributes,Organised,payroll-specialist
423,Observable Attributes,Resilience,payroll-specialist
424,Observable Attributes,Autonomy,payroll-specialist
425,Observable Attributes,Computer Literacy,payroll-specialist
426,Referenceable Experience,Public Practice Accounting,business-services-accountant
427,Referenceable Experience,Xero Accounting Software,business-services-accountant
428,Referenceable Experience,MYOB Accounting Software,business-services-accountant
429,Verifiable Attainments,CA Qualification,business-services-accountant
430,Referenceable Experience,Intuit Quickbooks,business-services-accountant
431,Referenceable Experience,Taxation,business-services-accountant
432,Referenceable Experience,Commerce,business-services-accountant
433,Observable Attributes,Communication Skills,business-services-accountant
434,Referenceable Experience,Accounting Standards,business-services-accountant
435,Observable Attributes,Neat Personal Presentation,business-services-accountant
436,Observable Attributes,Self Motivation,business-services-accountant
437,Observable Attributes,Willingness to Learn,business-services-accountant
438,Observable Attributes,Written Communication,business-services-accountant
439,Referenceable Experience,Microsoft Office,business-services-accountant
440,Observable Attributes,Autonomy,business-services-accountant
441,Observable Attributes,Time Management,business-services-accountant
442,Observable Attributes,Thoroughness,business-services-accountant
443,Observable Attributes,Problem Solving,business-services-accountant
444,Observable Attributes,Organised,business-services-accountant
445,Referenceable Experience,Bookkeeping,accounting-officer
446,Referenceable Experience,Accounting Principles,accounting-officer
447,Referenceable Experience,Xero Accounting Software,accounting-officer
448,Referenceable Experience,MYOB Accounting Software,accounting-officer
449,Referenceable Experience,Microsoft Excel,accounting-officer
450,Referenceable Experience,GST,accounting-officer
451,Observable Attributes,Prioritisation,accounting-officer
452,Referenceable Experience,Financial Systems,accounting-officer
453,Referenceable Experience,Microsoft Products,accounting-officer
454,Referenceable Experience,Accounts Receivable,accounting-officer
455,Referenceable Experience,Financial Accounting,accounting-officer
456,Observable Attributes,Problem Solving,accounting-officer
457,Observable Attributes,Communication Skills,accounting-officer
458,Observable Attributes,Time Management,accounting-officer
459,Observable Attributes,Thoroughness,accounting-officer
460,Referenceable Experience,SAP Software,accounting-officer
461,Observable Attributes,Autonomy,accounting-officer
462,Observable Attributes,Organised,accounting-officer
463,Observable Attributes,Computer Literacy,accounting-officer
464,Observable Attributes,Resilience,accounting-officer
465,Referenceable Experience,Cost Accounting,cost-accountant
466,Referenceable Experience,Microsoft Excel,cost-accountant
467,Referenceable Experience,Accounting Software,cost-accountant
468,Referenceable Experience,Accounting Principles,cost-accountant
469,Verifiable Attainments,CA Qualification,cost-accountant
470,Referenceable Experience,Managerial Accounting,cost-accountant
471,Referenceable Experience,Manufacturing Industry,cost-accountant
472,Referenceable Experience,Microsoft Power Business Intelligence,cost-accountant
473,Referenceable Experience,Product Pricing and Costing Strategy,cost-accountant
474,Referenceable Experience,ERP Software,cost-accountant
475,Referenceable Experience,Business Partnership,cost-accountant
476,Referenceable Experience,Accounting Standards,cost-accountant
477,Referenceable Experience,Analysis,cost-accountant
478,Referenceable Experience,ERP,cost-accountant
479,Referenceable Experience,SAP Software,cost-accountant
480,Referenceable Experience,Commerce,cost-accountant
481,Referenceable Experience,FMCG Industry,cost-accountant
482,Observable Attributes,Commercial Acumen,cost-accountant
483,Referenceable Experience,Mining Industry,cost-accountant
484,Observable Attributes,Thoroughness,cost-accountant
485,Referenceable Experience,Xero Accounting Software,business-advisory-manager
486,Referenceable Experience,Commerce,business-advisory-manager
487,Referenceable Experience,Public Practice Accounting,business-advisory-manager
488,Referenceable Experience,MYOB Accounting Software,business-advisory-manager
489,Referenceable Experience,Service Advising,business-advisory-manager
490,Referenceable Experience,Accounting Reporting,business-advisory-manager
491,Observable Attributes,Collaboration,business-advisory-manager
492,Referenceable Experience,Business Advisory,business-advisory-manager
493,Referenceable Experience,Accounting Standards,business-advisory-manager
494,Observable Attributes,Technical Aptitude,business-advisory-manager
495,Referenceable Experience,Managerial Accounting,business-advisory-manager
496,Referenceable Experience,Decision Making Skills,business-advisory-manager
497,Referenceable Experience,Team Leadership,business-advisory-manager
498,Observable Attributes,Communication Skills,business-advisory-manager
499,Referenceable Experience,Leadership,business-advisory-manager
500,Observable Attributes,Written Communication,business-advisory-manager
501,Observable Attributes,Time Management,business-advisory-manager
502,Observable Attributes,Willingness to Learn,business-advisory-manager
503,Referenceable Experience,Microsoft Office,business-advisory-manager
504,Observable Attributes,Autonomy,business-advisory-manager
505,Referenceable Experience,Microsoft Excel,assistant-accountant
506,Referenceable Experience,Xero Accounting Software,assistant-accountant
507,Referenceable Experience,Accounting Principles,assistant-accountant
508,Referenceable Experience,Accounts Payable,assistant-accountant
509,Referenceable Experience,Bookkeeping,assistant-accountant
510,Referenceable Experience,ERP Software,assistant-accountant
511,Referenceable Experience,Accounting Standards,assistant-accountant
512,Referenceable Experience,Commerce,assistant-accountant
513,Referenceable Experience,Accounts Receivable,assistant-accountant
514,Observable Attributes,Thoroughness,assistant-accountant
515,Observable Attributes,Communication Skills,assistant-accountant
516,Referenceable Experience,Accounting,assistant-accountant
517,Verifiable Attainments,CA Qualification,assistant-accountant
518,Observable Attributes,Time Management,assistant-accountant
519,Referenceable Experience,SAP Software,assistant-accountant
520,Observable Attributes,Organised,assistant-accountant
521,Referenceable Experience,Analysis,assistant-accountant
522,Observable Attributes,Autonomy,assistant-accountant
523,Observable Attributes,Problem Solving,assistant-accountant
524,Observable Attributes,Willingness to Learn,assistant-accountant
525,Referenceable Experience,Payroll Software,payroll-coordinator
526,Referenceable Experience,Payroll Processing,payroll-coordinator
527,Referenceable Experience,End to End Payroll,payroll-coordinator
528,Referenceable Experience,Microsoft Excel,payroll-coordinator
529,Referenceable Experience,Data Entry,payroll-coordinator
530,Observable Attributes,Proactive Attitude,payroll-coordinator
531,Observable Attributes,Verbal Communication,payroll-coordinator
532,Referenceable Experience,Employment Law,payroll-coordinator
533,Observable Attributes,Time Management,payroll-coordinator
534,Observable Attributes,Numeracy,payroll-coordinator
535,Referenceable Experience,Xero Accounting Software,payroll-coordinator
536,Observable Attributes,Communication Skills,payroll-coordinator
537,Observable Attributes,Thoroughness,payroll-coordinator
538,Observable Attributes,Resilience,payroll-coordinator
539,Referenceable Experience,SAP Software,payroll-coordinator
540,Observable Attributes,Problem Solving,payroll-coordinator
541,Observable Attributes,Prioritisation,payroll-coordinator
542,Referenceable Experience,Microsoft Products,payroll-coordinator
543,Observable Attributes,Team Work,payroll-coordinator
544,Observable Attributes,Organised,payroll-coordinator
545,Referenceable Experience,Accounts Payable,account-officer
546,Referenceable Experience,Xero Accounting Software,account-officer
547,Referenceable Experience,Accounts Receivable,account-officer
548,Referenceable Experience,Bookkeeping,account-officer
549,Referenceable Experience,Data Entry,account-officer
